Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Agincourt North,129,29113.000,30279.000,-0.039,24.343,9.975,9.624,29.367,10.988,15.703,22.112,27.402,16.695,11.765,8.485,5.163,3.153,2.222,1.164,0.804,1.037,21.579,27.434,50.922,3.365,16.500,3.688,27.434,19.994,1.391,0.679,4.756,0.550,30414.000,30017.000,31860.000,3646.000,18482.000,5739.000,6841.000,6244.000,8602.000,1733.000,932.000,356.000,26955.000,6726.000,4795.000,2472.000,407.157,45.780,57.000,8.134,0.644,719.000,317508.000,192.447,9.617,0.810,68.519,1.414,0.007,0.334,0.739,0.125,3.144,1.840,0.013,1.288,0.578,0.205,4.363,1.658,2.328,0.694,0.000,0.271,0.225,0.178,3.696,0.951
Agincourt South-Malvern West,128,23757.000,21988.000,0.080,26.420,9.519,10.401,30.847,10.107,12.707,23.789,24.048,15.937,11.765,8.629,5.960,3.602,2.591,1.503,0.803,1.373,14.134,25.912,59.992,3.495,17.781,3.685,35.068,24.848,1.634,0.912,6.991,0.646,31825.000,31854.000,33908.000,4380.000,18200.000,6190.000,7393.000,5882.000,8926.000,2294.000,914.000,341.000,27928.000,7185.000,5102.000,2642.000,1083.191,29.290,61.000,1.232,0.273,687.000,251119.000,14.754,29.839,0.793,59.200,1.137,0.005,0.200,1.103,0.186,5.212,4.771,0.014,1.437,0.277,0.409,4.621,0.268,1.642,0.800,0.005,0.355,0.341,0.032,3.138,0.282
Alderwood,20,12054.000,11904.000,0.013,28.188,10.484,7.357,31.095,10.872,12.003,14.034,15.744,15.996,13.330,11.771,9.356,6.288,5.131,3.521,1.559,3.270,11.406,26.184,62.410,6.385,24.892,2.798,28.407,20.301,1.506,0.646,5.595,0.359,47709.000,46761.000,49899.000,4820.000,18562.000,8047.000,7495.000,3933.000,9642.000,8613.000,746.000,327.000,39159.000,11626.000,7895.000,4274.000,61.290,39.780,54.000,1.823,0.210,718.000,414216.000,11.013,10.719,0.730,68.889,0.991,0.008,0.118,1.899,0.059,3.755,2.268,0.000,0.714,0.302,0.134,2.713,0.403,0.756,0.286,0.000,0.143,0.202,0.017,1.613,0.101
Annex,95,30526.000,29177.000,0.046,37.224,4.851,7.708,30.915,7.153,12.148,15.560,14.761,11.509,10.088,9.231,7.517,6.349,4.732,3.389,2.610,14.255,2.512,11.499,85.934,2.037,11.192,2.149,70.555,38.264,3.740,1.842,21.937,4.856,112766.000,117981.000,102593.000,44538.000,42918.000,8250.000,6959.000,3313.000,8296.000,4617.000,733.000,300.000,80138.000,45973.000,30496.000,18254.000,120.300,43.760,58.000,0.494,0.257,721.000,392271.000,4.037,4.534,0.864,74.074,0.415,0.001,0.021,0.969,0.065,1.481,0.637,0.000,0.202,0.110,0.051,1.045,0.117,0.322,0.189,0.003,0.055,0.069,0.010,0.562,0.062
Banbury-Don Mills,42,27695.000,26918.000,0.029,31.068,8.979,6.800,26.925,8.855,17.373,14.825,14.579,12.168,10.940,10.538,8.506,6.921,5.068,4.041,2.813,9.600,4.258,15.812,79.965,2.792,16.894,3.909,56.265,34.171,3.700,3.002,13.752,1.710,67757.000,68234.000,63371.000,20893.000,29704.000,8242.000,8202.000,3835.000,8348.000,2039.000,825.000,326.000,51874.000,21829.000,14370.000,8509.000,0.000,29.540,48.000,0.249,0.223,692.000,233832.000,3.355,6.252,0.653,59.200,0.271,0.003,0.004,0.608,0.052,1.720,0.888,0.004,0.286,0.093,0.052,1.193,0.264,0.398,0.160,0.000,0.085,0.019,0.071,0.687,0.082
Bathurst Manor,34,15873.000,15434.000,0.028,28.770,10.422,8.696,29.832,9.100,13.179,17.048,20.284,16.022,12.194,9.471,7.064,5.328,3.710,3.078,1.618,4.183,5.511,21.010,73.364,4.420,18.657,4.076,46.269,28.530,4.305,1.550,10.103,1.780,45936.000,47015.000,46786.000,10273.000,18528.000,7476.000,6983.000,4419.000,9708.000,7125.000,816.000,342.000,37927.000,12656.000,8645.000,4814.000,0.000,41.760,56.000,1.037,0.836,717.000,292861.000,18.135,28.172,0.854,76.667,1.173,0.002,0.156,1.179,0.356,2.378,4.296,0.000,0.868,0.382,0.305,4.406,1.205,1.581,0.758,0.006,0.207,0.143,0.052,2.274,0.311
Bay Street Corridor,76,25797.000,19348.000,0.333,41.676,3.832,15.508,29.535,3.979,5.471,30.934,13.067,9.511,8.573,7.548,6.828,6.741,4.908,2.880,1.942,7.068,1.932,8.573,89.597,1.152,7.353,2.033,79.024,39.376,3.863,7.658,22.196,5.896,56526.000,64645.000,63009.000,17050.000,37712.000,8217.000,8106.000,5014.000,8917.000,0.000,763.000,283.000,43427.000,23471.000,16729.000,9224.000,74.556,54.460,51.000,0.873,0.853,750.000,511637.000,9.526,10.502,0.885,84.772,1.339,0.002,0.160,0.892,0.124,2.900,1.633,0.010,0.677,0.341,0.093,3.308,0.403,1.178,0.574,0.000,0.248,0.114,0.041,1.768,0.253
Bayview Village,52,21396.000,17671.000,0.211,32.102,7.668,7.953,32.734,8.065,11.478,21.903,15.794,12.134,10.163,9.572,7.883,6.250,4.842,3.378,2.055,6.025,3.001,13.250,83.788,1.871,16.524,3.819,61.652,38.153,3.118,2.845,15.472,2.027,52035.000,54357.000,51853.000,14638.000,32763.000,7716.000,8020.000,4604.000,8280.000,0.000,882.000,318.000,41440.000,16439.000,11062.000,6569.000,183.351,56.130,58.000,0.464,0.792,753.000,491396.000,5.070,4.844,0.850,81.034,0.645,0.002,0.023,1.177,0.017,3.786,0.877,0.006,0.232,0.158,0.068,2.897,0.209,0.934,0.362,0.000,0.085,0.006,0.006,0.600,0.045
Bayview Woods-Steeles,49,13154.000,13530.000,-0.028,27.127,8.396,9.061,24.882,10.114,20.421,20.965,18.788,13.488,10.270,8.661,6.910,5.490,4.307,3.076,2.035,6.010,4.928,14.467,80.684,3.180,15.819,3.657,57.870,33.466,4.452,2.464,14.547,2.862,47246.000,47319.000,45292.000,11674.000,28249.000,7871.000,6759.000,4937.000,8835.000,0.000,840.000,336.000,38196.000,14685.000,10191.000,5608.000,0.000,63.360,49.000,1.131,0.222,761.000,873268.000,9.860,5.551,0.875,85.455,0.953,0.004,0.074,1.426,0.074,0.000,1.027,0.007,0.421,0.554,0.030,2.343,0.185,0.835,0.540,0.000,0.133,0.037,0.037,1.367,0.155
Bedford Park-Nortown,39,23236.000,23185.000,0.002,28.040,14.110,9.944,26.052,9.525,12.329,14.027,12.104,11.595,9.248,7.636,6.363,5.288,4.581,3.846,3.252,22.059,3.653,13.600,82.790,2.817,12.544,2.597,64.701,37.720,4.533,4.357,16.241,1.937,123077.000,125630.000,112273.000,41765.000,37101.000,8659.000,9058.000,3966.000,9096.000,0.000,767.000,335.000,85678.000,48920.000,32139.000,19736.000,0.000,76.570,48.000,0.319,1.583,791.000,971668.000,5.288,1.290,0.956,91.304,0.729,0.001,0.026,0.819,0.017,0.000,0.177,0.000,0.207,0.216,0.069,0.923,0.095,0.328,0.233,0.000,0.073,0.004,0.039,0.677,0.069
Beechborough-Greenbrook,112,6577.000,6488.000,0.014,29.837,11.952,9.124,29.346,9.444,10.298,17.224,24.417,19.453,14.995,10.334,5.572,3.647,1.925,0.811,0.507,1.114,22.160,28.471,49.369,10.519,20.617,3.927,14.165,9.958,1.964,0.281,1.683,0.281,33829.000,33207.000,35218.000,5056.000,16907.000,7457.000,6320.000,7248.000,9378.000,8785.000,631.000,385.000,29453.000,7726.000,5418.000,2835.000,0.000,62.560,57.000,3.530,2.651,775.000,423034.000,53.514,11.945,0.924,86.719,4.824,0.045,0.154,2.680,0.046,1.603,1.557,0.000,0.894,0.971,0.139,8.046,2.173,2.189,1.248,0.000,0.539,0.139,0.077,3.144,0.385
Bendale,127,29960.000,27876.000,0.075,27.355,11.021,11.155,29.189,8.563,12.717,22.335,20.803,16.098,13.595,10.013,6.798,4.165,2.741,1.554,0.777,1.122,13.426,25.946,60.595,4.012,20.899,2.976,32.773,22.905,2.232,0.679,6.406,0.356,33256.000,33857.000,35897.000,2951.000,18837.000,7172.000,6499.000,6598.000,10030.000,6982.000,899.000,347.000,28953.000,7640.000,5364.000,2766.000,4.305,74.880,69.000,0.380,0.377,783.000,505350.000,5.359,0.857,0.967,91.667,0.653,0.001,0.050,0.714,0.014,0.000,0.251,0.000,0.151,0.086,0.036,0.900,0.179,0.255,0.093,0.000,0.072,0.011,0.000,0.405,0.050
Birchcliffe-Cliffside,122,22291.000,21856.000,0.020,30.184,10.477,7.642,28.424,11.025,12.247,15.890,16.742,14.213,11.455,10.460,8.613,5.941,5.088,3.610,2.047,5.941,9.653,25.489,64.898,5.106,22.377,3.111,34.264,22.856,2.274,0.319,7.858,0.838,54360.000,55442.000,57365.000,5741.000,24526.000,7880.000,8153.000,4185.000,8748.000,4448.000,789.000,334.000,43027.000,16230.000,10755.000,6094.000,293.741,51.190,74.000,0.668,0.275,738.000,298426.000,19.857,4.992,0.908,81.707,0.426,0.001,0.046,0.898,0.055,0.453,0.682,0.000,0.334,0.119,0.050,1.327,0.275,0.329,0.210,0.005,0.069,0.027,0.018,0.691,0.069
Black Creek,24,21737.000,22057.000,-0.015,26.109,15.656,11.198,29.015,8.254,9.768,21.959,27.836,19.368,15.008,8.468,3.855,1.833,0.948,0.411,0.126,0.190,32.562,28.617,38.730,7.120,17.415,2.449,11.791,9.206,0.590,0.408,1.088,0.363,25989.000,25601.000,27575.000,1613.000,10554.000,6282.000,6790.000,8902.000,10311.000,8763.000,822.000,401.000,23786.000,4750.000,3388.000,1719.000,56.671,62.510,72.000,10.260,0.925,755.000,491678.000,207.617,11.488,0.876,86.429,1.773,0.002,0.580,1.008,0.073,5.644,2.217,0.014,1.215,0.938,0.322,7.326,1.696,2.834,1.129,0.005,0.263,0.168,0.104,3.867,0.852
Blake-Jones,69,7727.000,7763.000,-0.005,29.721,12.774,8.046,32.776,8.546,8.137,17.573,22.427,12.552,9.623,7.782,7.197,5.690,4.351,4.017,2.510,6.276,10.742,17.276,72.093,4.873,16.390,2.215,48.505,30.565,3.101,0.443,12.182,1.993,48511.000,52949.000,53921.000,5666.000,23273.000,6288.000,6323.000,5802.000,9169.000,0.000,851.000,359.000,39515.000,15416.000,10505.000,5733.000,0.000,86.190,68.000,2.512,1.481,793.000,941223.000,30.079,0.953,0.944,92.857,1.391,0.004,0.116,1.676,0.000,0.000,0.206,0.000,0.477,0.374,0.077,3.233,0.232,1.443,0.696,0.000,0.386,0.013,0.026,1.546,0.193
Briar Hill-Belgravia,108,14257.000,14302.000,-0.003,29.870,9.113,8.131,33.112,9.457,10.317,16.780,21.410,19.711,14.741,10.450,6.330,4.163,2.591,1.614,0.850,1.359,12.725,22.894,64.381,5.636,19.640,4.300,34.747,24.346,3.021,0.639,6.101,0.697,34768.000,34642.000,36740.000,3032.000,12881.000,7250.000,6871.000,4607.000,8970.000,10761.000,808.000,338.000,30341.000,7141.000,5022.000,2604.000,0.000,69.290,67.000,4.160,1.979,760.000,690949.000,41.477,11.138,0.886,91.489,2.140,0.005,0.461,1.245,0.084,0.902,1.958,0.007,0.916,0.601,0.133,5.097,0.566,1.168,0.944,0.000,0.147,0.070,0.063,2.279,0.350
Bridle Path-Sunnybrook-York Mills,41,9266.000,8713.000,0.063,27.304,11.266,11.187,24.258,11.972,14.013,17.510,9.029,7.798,5.677,5.814,5.677,5.404,5.130,3.625,3.283,31.053,1.211,10.683,87.996,1.211,6.828,2.643,77.093,39.868,6.057,6.828,21.806,2.643,308010.000,320819.000,308154.000,104514.000,55725.000,8834.000,6772.000,2833.000,0.000,0.000,726.000,299.000,193454.000,150999.000,95070.000,62927.000,34.431,62.360,71.000,7.104,2.238,741.000,429941.000,132.549,30.231,0.922,86.124,2.766,0.008,0.252,2.877,0.413,10.869,6.278,0.000,2.307,1.595,0.597,10.490,1.790,4.338,1.974,0.000,0.184,0.161,0.103,5.348,0.402
Broadview North,57,11499.000,11563.000,-0.006,33.591,8.496,6.011,32.829,8.294,10.779,14.982,20.587,16.920,13.043,10.896,6.862,5.029,3.772,2.672,1.467,3.772,10.255,19.943,69.873,4.526,19.731,2.758,42.786,26.874,2.970,0.636,11.174,1.132,44557.000,45571.000,47698.000,4268.000,18905.000,7444.000,7428.000,5316.000,10058.000,6600.000,773.000,346.000,37018.000,11409.000,7830.000,4238.000,0.000,53.210,79.000,3.183,0.778,719.000,460811.000,45.741,13.837,0.831,87.209,0.943,0.005,0.121,2.885,0.156,10.283,3.364,0.000,1.185,0.597,0.363,4.696,0.389,1.929,0.718,0.000,0.320,0.069,0.000,2.776,0.242
Brookhaven-Amesbury,30,17757.000,17787.000,-0.002,27.294,13.755,10.071,31.215,8.945,8.720,18.880,22.886,19.844,14.874,10.237,5.712,3.264,2.077,0.890,0.482,0.853,22.645,28.358,49.048,8.183,20.896,3.088,16.778,12.506,1.698,0.206,2.162,0.257,32483.000,32320.000,32454.000,8529.000,13776.000,7102.000,6350.000,6684.000,10149.000,7858.000,804.000,380.000,28552.000,7185.000,4960.000,2694.000,0.000,56.260,72.000,0.956,0.304,724.000,459088.000,6.426,5.757,0.875,85.542,0.517,0.002,0.022,1.691,0.112,0.596,0.995,0.000,0.439,0.231,0.073,1.838,0.124,0.579,0.315,0.000,0.067,0.118,0.011,1.034,0.096
Cabbagetown-South St. James Town,71,11669.000,12053.000,-0.032,36.713,4.344,5.620,31.793,9.313,12.218,12.725,19.088,12.575,10.872,9.970,8.166,6.062,5.110,3.657,2.455,9.319,3.547,16.620,80.042,3.477,17.246,3.477,55.911,31.780,4.381,0.974,15.438,3.199,63012.000,66162.000,63274.000,12999.000,30480.000,7509.000,7256.000,4182.000,9239.000,0.000,741.000,315.000,49123.000,20130.000,13384.000,7644.000,0.000,63.880,70.000,2.564,0.996,764.000,504233.000,40.148,4.281,0.867,91.216,1.593,0.002,0.108,2.248,0.017,0.697,0.572,0.000,0.407,0.639,0.108,2.746,0.548,0.913,0.448,0.000,0.100,0.124,0.033,1.568,0.158
Caledonia-Fairbank,109,9955.000,9851.000,0.011,28.330,10.727,8.783,32.901,9.719,9.539,17.321,19.502,19.128,15.016,10.966,7.788,4.984,2.430,1.620,0.685,0.561,27.679,24.895,47.595,7.679,19.494,3.038,17.384,12.911,1.097,0.338,2.700,0.338,35112.000,34867.000,37774.000,2837.000,12750.000,7112.000,6881.000,4650.000,9166.000,8693.000,762.000,350.000,30529.000,7181.000,4971.000,2567.000,0.000,34.300,61.000,13.938,0.538,715.000,354381.000,182.215,16.841,0.782,70.400,0.853,0.007,0.142,2.376,0.071,1.259,2.071,0.000,0.995,0.771,0.112,5.746,1.188,2.111,0.741,0.010,0.305,0.081,0.061,2.934,0.599
Casa Loma,96,10968.000,10487.000,0.046,34.704,7.139,6.426,27.100,8.716,15.915,12.976,11.582,10.777,9.598,8.633,7.721,6.220,5.308,3.968,2.735,20.483,1.941,12.068,86.160,2.025,12.658,1.435,69.873,39.747,3.797,2.785,20.338,3.207,165047.000,170158.000,146115.000,74095.000,39286.000,8676.000,8148.000,3521.000,8375.000,0.000,725.000,307.000,115033.000,65118.000,40970.000,27032.000,0.000,36.090,58.000,3.566,0.524,695.000,314721.000,55.297,24.697,0.828,67.347,0.763,0.009,0.153,1.719,0.153,2.079,4.043,0.019,1.249,0.553,0.334,3.137,0.934,0.706,0.467,0.000,0.381,0.324,0.019,3.290,0.429
Centennial Scarborough,133,13362.000,13093.000,0.021,24.926,12.073,10.388,28.244,10.978,13.392,15.859,14.306,11.859,10.541,10.965,9.224,7.718,6.306,4.518,2.729,5.976,4.738,19.885,75.377,3.948,23.116,3.446,44.795,32.017,2.082,0.574,9.332,0.718,54045.000,53618.000,53559.000,5203.000,29064.000,7902.000,7609.000,4116.000,10683.000,3888.000,829.000,324.000,43854.000,14219.000,9461.000,5229.000,0.000,53.790,57.000,1.161,0.000,735.000,412618.000,21.806,6.095,0.887,76.563,0.680,0.005,0.031,1.611,0.031,1.344,1.138,0.008,0.481,0.283,0.328,2.650,1.421,0.878,0.321,0.000,0.298,0.038,0.046,1.696,0.221
Church-Yonge Corridor,75,31340.000,28349.000,0.106,41.222,2.363,9.488,35.216,6.066,5.644,17.453,15.956,11.465,11.060,10.726,9.141,7.256,5.284,3.610,2.078,5.970,3.298,12.938,83.833,2.764,14.170,2.904,63.949,38.002,3.926,2.323,16.702,3.089,53583.000,56673.000,55168.000,9404.000,33813.000,8016.000,7005.000,4766.000,9143.000,0.000,732.000,296.000,43039.000,15650.000,10806.000,5845.000,161.875,21.380,62.000,1.079,0.617,661.000,235143.000,13.602,22.604,0.824,54.787,0.289,0.001,0.127,0.758,0.095,5.051,2.924,0.007,0.854,0.265,0.317,2.773,0.349,0.928,0.596,0.004,0.229,0.127,0.014,2.018,0.208
Clairlea-Birchmount,120,26984.000,24770.000,0.089,26.093,12.500,9.570,32.695,9.201,9.940,18.794,20.332,16.622,13.132,10.886,7.542,4.930,3.539,2.001,0.879,1.342,11.425,24.909,63.534,4.716,21.953,3.089,33.909,21.820,1.627,0.864,8.735,0.731,36232.000,36681.000,38852.000,2155.000,16507.000,7366.000,7195.000,5573.000,9360.000,5137.000,875.000,354.000,31369.000,8178.000,5649.000,2950.000,795.224,24.390,61.000,2.370,0.698,678.000,304262.000,33.601,29.322,0.816,66.871,0.715,0.003,0.375,0.912,0.121,6.407,3.831,0.012,1.207,0.339,0.472,3.678,0.396,1.461,0.795,0.004,0.484,0.291,0.016,2.963,0.149
Clanton Park,33,16472.000,14612.000,0.127,29.487,11.849,8.185,32.011,8.292,10.177,15.305,18.259,16.341,13.464,8.861,7.326,5.217,4.143,2.915,1.764,6.406,4.113,19.605,76.335,4.487,19.872,3.953,48.024,32.265,3.259,1.656,9.455,1.442,51181.000,51666.000,50564.000,12237.000,20219.000,7444.000,8017.000,4689.000,8983.000,5933.000,843.000,337.000,41837.000,13400.000,9113.000,5132.000,2733.904,37.160,59.000,6.741,1.629,692.000,400486.000,137.900,38.448,0.832,76.190,1.608,0.006,0.602,1.554,0.246,3.607,7.254,0.034,2.751,1.280,0.862,8.637,2.498,3.018,1.595,0.021,0.527,0.342,0.055,6.714,0.876
Cliffcrest,123,15935.000,15703.000,0.015,27.670,11.692,9.739,27.561,11.102,12.237,17.398,19.593,15.243,11.453,10.096,7.741,5.267,4.350,3.113,1.676,4.070,8.442,26.978,64.640,4.309,22.963,2.834,34.534,23.081,2.066,0.590,7.733,0.945,44718.000,45200.000,45539.000,6613.000,24144.000,7707.000,7754.000,4827.000,9835.000,3966.000,840.000,346.000,36364.000,13088.000,8819.000,4898.000,152.009,37.660,60.000,16.831,0.993,698.000,359372.000,273.101,30.058,0.810,74.725,1.063,0.006,0.427,1.188,0.274,3.254,4.630,0.013,1.796,0.955,0.357,6.413,0.911,5.082,1.184,0.013,0.630,0.312,0.102,4.942,0.777
Corso Italia-Davenport,92,14133.000,13743.000,0.028,29.452,9.530,7.708,34.576,8.681,10.053,16.195,19.237,18.081,12.682,10.111,8.012,5.784,3.428,2.528,1.200,2.742,19.456,21.656,58.888,6.369,16.387,2.316,33.642,21.714,1.679,0.116,8.280,1.795,41717.000,41553.000,44480.000,5538.000,13773.000,7208.000,7571.000,4115.000,8771.000,9921.000,746.000,328.000,35165.000,10298.000,7093.000,3779.000,0.000,35.400,60.000,0.349,0.189,692.000,493442.000,4.002,14.000,0.823,68.067,0.407,0.001,0.015,1.530,0.065,10.442,2.539,0.000,0.626,0.313,0.182,2.765,0.604,1.317,0.669,0.007,0.298,0.102,0.036,1.695,0.131
Danforth,66,9666.000,9444.000,0.024,29.805,12.153,6.675,31.706,8.670,10.992,14.750,20.208,14.100,9.357,8.317,6.823,6.433,5.653,4.613,2.859,6.888,8.582,17.525,73.893,2.710,15.899,2.258,53.026,32.972,3.613,0.361,14.273,1.897,55225.000,57258.000,60085.000,5529.000,16603.000,7207.000,8236.000,3766.000,8068.000,7061.000,824.000,330.000,43924.000,17224.000,11529.000,6504.000,0.000,50.720,66.000,0.498,0.953,721.000,540741.000,7.804,9.731,0.880,75.833,0.868,0.002,0.042,2.043,0.053,1.853,1.694,0.000,0.392,0.307,0.095,3.208,0.762,0.900,0.307,0.000,0.201,0.106,0.000,1.239,0.138
Danforth East York,59,17180.000,16712.000,0.028,29.736,12.344,5.927,32.414,8.727,10.852,13.827,18.105,13.827,10.619,10.251,8.149,6.637,6.195,4.425,2.360,5.605,8.162,18.578,73.260,3.806,19.179,2.904,47.421,29.895,2.804,0.551,11.968,2.203,51846.000,52864.000,56057.000,5183.000,18673.000,7035.000,8564.000,3966.000,8320.000,7272.000,822.000,340.000,42455.000,13521.000,9081.000,4968.000,97.535,43.070,62.000,2.788,0.323,687.000,352428.000,28.871,20.464,0.831,66.316,0.676,0.002,0.269,1.306,0.215,3.524,3.608,0.018,0.856,0.347,0.197,2.735,0.185,1.065,0.515,0.000,0.191,0.311,0.036,2.220,0.281
Don Valley Village,47,27051.000,26739.000,0.012,27.375,10.914,8.806,31.842,8.444,12.619,23.045,20.005,14.922,11.836,9.422,6.405,4.804,3.388,2.205,1.392,2.576,5.498,16.594,77.907,3.599,17.627,4.998,51.749,31.456,2.866,1.899,13.262,2.366,37379.000,38136.000,38701.000,6566.000,22622.000,6979.000,7739.000,5615.000,10284.000,0.000,834.000,345.000,31875.000,9494.000,6737.000,3512.000,223.995,49.530,72.000,5.490,0.307,729.000,421045.000,92.318,5.617,0.869,78.710,0.920,0.001,0.172,0.794,0.022,2.984,1.092,0.004,0.677,0.251,0.224,3.037,0.651,1.070,0.479,0.000,0.303,0.041,0.052,2.061,0.512
Dorset Park,126,25003.000,24363.000,0.026,26.460,12.502,9.281,30.843,9.796,11.119,19.662,22.697,18.527,15.096,10.267,5.727,3.537,2.085,1.214,0.581,0.607,14.033,25.787,60.253,5.244,20.470,3.870,30.669,21.591,1.447,0.434,6.546,0.687,31692.000,32086.000,34113.000,2308.000,16009.000,6231.000,6897.000,6529.000,10333.000,5065.000,877.000,360.000,28052.000,6448.000,4534.000,2317.000,73.883,56.010,70.000,0.718,0.431,730.000,577889.000,14.346,11.218,0.784,69.608,1.556,0.001,0.033,0.946,0.037,6.929,1.556,0.008,0.603,0.337,0.070,2.746,0.283,1.010,0.575,0.000,0.324,0.078,0.021,1.543,0.111
Dovercourt-Wallace Emerson-Junction,93,36625.000,34631.000,0.058,30.719,8.470,7.421,37.415,7.440,8.536,15.802,21.769,17.412,12.665,9.933,7.430,5.219,3.869,2.292,1.187,2.422,14.468,21.372,64.181,4.155,16.535,2.216,41.253,26.742,2.301,0.405,10.271,1.619,39740.000,40368.000,42687.000,3777.000,13764.000,6800.000,6977.000,4802.000,9128.000,9625.000,762.000,332.000,33777.000,9535.000,6676.000,3489.000,0.000,69.530,63.000,1.031,0.375,740.000,605585.000,14.470,2.119,0.917,80.882,0.364,0.000,0.139,0.530,0.017,1.585,0.739,0.003,0.349,0.173,0.043,1.019,0.274,0.427,0.280,0.003,0.087,0.035,0.029,0.840,0.121
Downsview-Roding-CFB,26,35052.000,34659.000,0.011,28.911,11.620,8.809,30.536,8.890,11.234,16.585,21.873,20.502,15.322,10.666,6.262,3.826,2.202,1.227,0.596,0.938,20.507,27.877,51.539,7.060,21.153,3.595,19.834,14.507,1.733,0.517,2.689,0.259,34168.000,33183.000,36227.000,3639.000,11984.000,7503.000,7035.000,5834.000,9412.000,9221.000,842.000,359.000,29774.000,7204.000,5062.000,2632.000,8.079,58.410,61.000,0.704,0.303,745.000,568877.000,9.723,2.937,0.811,90.625,0.476,0.004,0.118,0.467,0.017,1.111,0.669,0.006,0.162,0.167,0.026,1.948,0.257,0.482,0.312,0.000,0.026,0.023,0.014,0.490,0.072
Dufferin Grove,83,11785.000,11449.000,0.029,33.049,7.303,6.053,37.965,7.019,8.610,15.202,20.780,16.782,14.067,10.168,7.700,5.726,3.110,2.369,1.382,2.715,13.041,17.875,69.020,3.690,17.176,2.417,45.865,29.517,2.608,0.700,11.132,1.781,40588.000,40697.000,42507.000,5021.000,14578.000,6221.000,7126.000,4523.000,8896.000,8346.000,753.000,323.000,34403.000,9464.000,6601.000,3484.000,34.938,46.570,61.000,0.725,0.393,730.000,372380.000,26.439,25.382,0.586,69.231,1.389,0.008,0.044,1.638,0.131,4.629,9.407,0.000,1.118,0.856,0.201,5.756,0.157,1.476,0.620,0.000,0.236,0.122,0.061,2.821,0.227
East End-Danforth,62,21381.000,20839.000,0.026,30.833,12.078,7.146,32.304,9.070,8.569,16.328,18.055,12.935,10.148,9.149,7.846,6.271,5.938,4.150,2.575,6.604,7.881,17.941,74.257,3.802,20.317,2.614,47.366,30.297,3.129,0.594,11.762,1.545,54324.000,57351.000,58664.000,7144.000,21778.000,7374.000,8109.000,4310.000,8854.000,0.000,812.000,340.000,43567.000,16115.000,10783.000,6019.000,108.954,56.070,69.000,2.318,0.470,737.000,557468.000,43.625,10.192,0.788,81.818,1.008,0.001,0.264,0.739,0.005,1.252,3.215,0.000,0.672,0.609,0.091,3.028,0.230,0.705,0.518,0.000,0.216,0.082,0.038,1.881,0.173
