Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Stonegate-Queensway,16,25051.000,24691.000,0.015,30.321,11.298,6.943,29.664,10.185,11.590,14.200,14.723,13.231,11.564,9.973,8.107,5.919,5.297,4.103,2.785,10.097,5.996,17.461,76.613,3.927,20.442,3.050,49.158,30.785,4.173,0.912,11.501,1.683,64140.000,64083.000,64645.000,11103.000,25594.000,8294.000,8388.000,3719.000,9815.000,7733.000,870.000,330.000,49002.000,20635.000,13597.000,7934.000,0.000,66.360,70.000,0.267,0.077,749.000,806452.000,1.774,4.249,0.760,85.294,0.324,0.002,0.028,0.743,0.000,2.608,0.381,0.004,0.113,0.081,0.032,0.838,0.036,0.239,0.198,0.008,0.049,0.008,0.004,0.328,0.032
Tam O'Shanter-Sullivan,118,27446.000,27398.000,0.002,27.443,10.267,8.523,28.212,9.276,16.279,20.237,24.025,17.066,12.457,9.058,6.092,3.947,2.738,1.734,0.958,1.688,11.530,24.048,64.422,3.879,18.265,3.738,38.752,26.869,1.834,0.776,8.427,0.811,34200.000,33861.000,36529.000,4325.000,17961.000,6591.000,7296.000,6085.000,8925.000,995.000,881.000,349.000,29756.000,7820.000,5577.000,2881.000,0.000,26.390,59.000,0.672,0.398,680.000,273418.000,8.022,10.720,0.781,63.810,0.336,0.002,0.022,0.848,0.077,3.154,1.989,0.000,0.493,0.193,0.175,1.624,0.193,0.803,0.223,0.004,0.120,0.058,0.007,1.102,0.051
Taylor-Massey,61,15683.000,15594.000,0.006,29.159,13.332,7.638,34.257,7.909,7.706,21.717,24.139,18.445,12.622,9.350,5.610,3.612,2.040,1.232,0.637,0.595,9.979,20.976,68.938,4.131,17.543,2.951,44.260,23.176,2.253,0.858,16.631,1.448,30430.000,31326.000,32458.000,3318.000,16835.000,6766.000,7091.000,7460.000,9954.000,2946.000,901.000,369.000,27064.000,6486.000,4650.000,2369.000,224.445,51.660,61.000,1.520,0.673,778.000,440688.000,37.418,9.933,0.840,91.026,4.438,0.003,0.058,0.922,0.000,0.000,2.745,0.013,0.327,0.526,0.032,2.116,0.308,0.609,0.289,0.000,0.167,0.045,0.026,1.315,0.192
The Beaches,63,21567.000,21130.000,0.021,31.500,12.139,6.585,30.434,9.965,9.378,13.658,11.858,10.324,9.027,8.761,7.935,7.021,5.959,5.251,3.510,16.696,3.331,15.028,81.681,2.736,16.852,1.903,60.230,37.113,4.163,1.427,15.305,2.220,92580.000,93901.000,90228.000,19331.000,32359.000,8182.000,8884.000,3048.000,7733.000,0.000,831.000,317.000,67490.000,32490.000,20811.000,12734.000,37.861,50.780,65.000,2.097,0.596,758.000,355438.000,22.404,18.211,0.829,85.075,3.526,0.003,0.416,0.773,0.057,7.345,4.103,0.005,0.549,0.530,0.166,4.468,0.549,1.453,0.558,0.005,0.317,0.038,0.033,1.737,0.099
Thistletown-Beaumond Heights,3,10360.000,10138.000,0.022,25.074,12.494,10.183,30.043,8.630,13.577,19.635,22.215,18.628,14.475,9.629,6.167,3.587,2.454,1.322,0.755,1.133,17.335,25.722,56.850,6.431,21.156,4.380,24.884,17.521,1.491,0.186,5.219,0.466,32815.000,32444.000,34385.000,3020.000,17314.000,7596.000,8137.000,6753.000,8617.000,7481.000,812.000,363.000,28842.000,7040.000,5019.000,2575.000,0.000,55.140,64.000,3.383,1.894,756.000,411143.000,38.292,19.461,0.888,80.357,3.659,0.003,0.582,1.566,0.099,9.716,5.810,0.039,1.105,0.799,0.266,7.013,1.095,2.722,0.957,0.000,0.365,0.178,0.049,2.880,0.118
Thorncliffe Park,55,21108.000,19225.000,0.098,25.503,19.767,8.666,31.839,5.877,8.348,23.282,27.168,18.496,10.579,7.737,4.642,3.311,2.123,1.116,0.540,1.008,14.796,22.593,62.659,2.583,15.265,3.664,41.146,24.800,1.926,1.926,11.790,0.658,28875.000,30853.000,31231.000,6004.000,20856.000,6672.000,7842.000,9818.000,11869.000,0.000,1085.000,396.000,25675.000,7449.000,5198.000,2735.000,269.441,49.470,67.000,4.915,0.728,735.000,422689.000,86.954,15.678,0.861,87.432,2.060,0.002,0.333,1.023,0.192,3.007,3.085,0.010,1.597,0.687,0.312,5.581,0.999,1.410,0.858,0.000,0.255,0.120,0.042,3.225,0.213
Trinity-Bellwoods,81,16556.000,16802.000,-0.015,31.349,7.234,6.757,38.181,6.737,9.742,15.830,20.813,16.290,10.919,9.753,6.855,4.982,3.816,2.898,1.731,6.113,12.024,20.009,68.013,2.959,14.326,1.832,48.943,29.216,3.147,1.174,12.870,2.583,50694.000,51731.000,53805.000,7952.000,17750.000,7398.000,7100.000,4368.000,8760.000,7362.000,743.000,323.000,40658.000,15441.000,10611.000,5863.000,288.019,48.340,69.000,4.946,0.500,741.000,387912.000,91.602,15.998,0.868,86.861,1.720,0.002,0.071,1.674,0.054,1.625,3.392,0.018,1.696,0.690,0.226,7.082,0.607,1.762,0.928,0.012,0.262,0.143,0.048,3.470,0.393
University,79,7607.000,7782.000,-0.022,33.456,4.941,12.985,31.392,5.684,11.542,20.466,18.885,14.309,10.566,8.070,6.406,5.075,3.661,3.328,1.747,7.488,3.914,12.247,84.091,2.525,10.985,2.399,68.308,35.859,3.662,1.136,19.823,8.081,50757.000,52904.000,49661.000,11686.000,26958.000,7836.000,7507.000,2383.000,7971.000,0.000,682.000,296.000,40931.000,16019.000,11231.000,6081.000,390.645,28.570,71.000,2.583,0.694,704.000,347446.000,22.719,38.126,0.739,69.014,1.015,0.003,0.090,3.702,0.116,18.813,11.167,0.051,2.172,1.169,0.707,6.399,0.643,2.416,1.246,0.000,0.386,0.167,0.051,4.832,0.180
Victoria Village,43,17510.000,17182.000,0.019,30.167,10.492,8.098,28.603,9.056,13.584,18.730,22.613,16.842,13.358,10.490,6.497,4.065,2.868,1.670,1.053,1.815,11.706,23.729,64.672,4.608,24.311,3.072,32.680,22.299,2.383,0.689,6.568,0.689,35786.000,36328.000,38096.000,4542.000,18797.000,6825.000,6841.000,6081.000,9858.000,8345.000,847.000,358.000,30769.000,8688.000,6044.000,3181.000,374.811,60.280,71.000,2.008,0.640,747.000,522905.000,18.787,10.412,0.797,95.652,2.020,0.004,0.134,1.851,0.093,5.063,1.647,0.012,1.211,0.611,0.151,4.487,0.407,1.606,0.768,0.000,0.227,0.023,0.052,2.392,0.116
Waterfront Communities-The Island,77,65913.000,43361.000,0.520,41.734,3.227,6.931,39.874,4.137,4.097,12.921,11.114,9.406,10.099,11.353,10.833,9.323,7.236,4.868,3.251,9.596,1.643,9.920,88.426,1.714,12.370,2.420,71.933,45.499,4.164,1.532,18.822,1.916,70600.000,73320.000,72028.000,10334.000,28481.000,7423.000,7454.000,4363.000,7970.000,0.000,758.000,297.000,54292.000,20930.000,14233.000,7884.000,0.000,55.950,54.000,0.461,0.161,748.000,542218.000,4.917,3.095,0.901,84.848,0.549,0.003,0.018,0.597,0.023,1.146,0.666,0.002,0.302,0.101,0.069,1.102,0.092,0.371,0.288,0.000,0.136,0.032,0.009,0.666,0.016
